SITE,Lat,Long
S1,37.06366111,79.92204167
S2,37.72860278,77.88120556
S3,37.52883333,79.73998056
S4,37.49725556,79.97843333
S5,37.54024722,79.39001389
S6,36.58552778,80.44365556
S7,37.033375,80.26998611
S8,36.95969722,80.84440833
S9,37.24123333,81.87161389
S10,37.20130556,82.48648889
S11,36.79876389,82.03284167
S12,36.64307778,83.24443889
S13,38.97795278,78.06521944
S14,38.53744167,78.30581944
S15,38.02889444,79.16039444
S16,38.8433,77.2242
S17,38.7869,77.8721
S18,38.2273,79.3545
S19,37.7907,79.5975
S20,38.2181,79.3885
S21,37.8039,78.9542
S22,37.867,78.3707
S23,37.4676,77.9799
S24,36.8618,80.0513
S25,36.5535,79.0171
S26,37.0416,78.2189
S27,36.7879,80.6275
S28,37.1895,81.0456
S29,37.4353,82.0311
S30,37.05972,81.13861
S31,37.39528,80.31222
S32,38.48694,79.57222
S33,38.3575,79.03139
S34,36.68889,82.28056
S35,37.11667,80.27861
S36,37.73667,79.78889
S37,36.97861,81.45583
S38,37.41389,80.58417
S39,38.36111,79.47694
S40,36.89444,81.43944
S41,37.78694,80.11389
S42,38.33472,79.23944
S43,37.35194,80.38389
S44,37.7425,79.73833
S45,37.71417,79.50694
